Report ID,Title,Year,URL
120,Manpower Planning In Judiciary: A Blueprint,1987,http://lawcommissionofindia.nic.in/101-169/Report120.pdf
121,A New Forum For Judicial Appointments.,1987,http://lawcommissionofindia.nic.in/101-169/Report121.pdf
122,Forum For National Uniformity In Labour Adjudication.,1987,http://lawcommissionofindia.nic.in/101-169/Report122.pdf
123,Decentralisation Of Administration Of Justice:disputes Involving Centres Of Higher Education.,1988,http://lawcommissionofindia.nic.in/101-169/Report123.pdf
124,The High Court Arrears- A Fresh Look.,1988,http://lawcommissionofindia.nic.in/101-169/Report124.pdf
125,The Supreme Court- A Fresh Look.,1988,http://lawcommissionofindia.nic.in/101-169/Report125.pdf
126,Government And Public Sector Undertaking Litigation Policy And Strategies.,1988,http://lawcommissionofindia.nic.in/101-169/Report126.pdf
127,Resource Allocation For Infra-Structural Services In Judicial Administration (A Continuum Of The Report On Manpower Planning In Judiciary: A Blueprint).,NA,http://lawcommissionofindia.nic.in/101-169/Report127.pdf
128,Cost Of Litigation.,1988,http://lawcommissionofindia.nic.in/101-169/Report128.pdf
129,Urban Litigation – Mediation As Alternative To Adjudication.,1988,http://lawcommissionofindia.nic.in/101-169/Report129.pdf
130,Benami Transactions:a Continuum.,1988,http://lawcommissionofindia.nic.in/101-169/Report130.pdf
131,Role Of Legal Profession In Administration Of Justice.,1988,http://lawcommissionofindia.nic.in/101-169/Report131.pdf
132,"Need For Amendment Of The Provisions Of The Chapter Ix Of The Code Of Criminal Procedure, 1973 In Order To Ameliorate The Hardship And Mitigate The Distress Of Neglected Women, Children And Parents.",1989,http://lawcommissionofindia.nic.in/101-169/Report132.pdf
133,Removal Of Discrimination Against Women In Matters Relating To Guardianship And Custody Of Minor Children And Elaboration Of The Welfare Principle.,1989,http://lawcommissionofindia.nic.in/101-169/Report133.pdf
134,"Removing Deficiencies In Certain Provisions Of The Workmen's Compensation Act, 1923.",1989,http://lawcommissionofindia.nic.in/101-169/Report134.pdf
135,Women In Custody.,1989,http://lawcommissionofindia.nic.in/101-169/Report135.pdf
136,Conflicts In High Court Decisions On Central Laws- How To Foreclose And How To Resolve.,1990,http://lawcommissionofindia.nic.in/101-169/Report136.pdf
137,Need For Creating Office Of Ombudsman And For Evolving Legislative Administrative Measures Inter-Alia To Relieve Hardships Caused By Inordinate Delays In Settling Provident Fund Claims Of Beneficiaries.,1990,http://lawcommissionofindia.nic.in/101-169/Report137.pdf
138,Legislative Protection For Slum And Pavement Dwellers.,1990,http://lawcommissionofindia.nic.in/101-169/Report138.pdf
139,"Urgent Need To Amend Order Xxi, Rule 92(2), Code Of Civil Procedure To Remove An Anomaly Which Nullifies The Benevolent Intention Of The Legislature And Occasions Injustice To Judgement-Debtors Sought To Be Benefited.",1991,http://lawcommissionofindia.nic.in/101-169/Report139.pdf
140,"Need To Amend Order V, Rule 19a Of The Code Of Civil Procedure, 1908, Relating To Service Of Summons By Registered Post With A View To Foreclose Likely Injustice.",1991,http://lawcommissionofindia.nic.in/101-169/Report140.pdf
141,Need For Amending The Law As Regards Power Of Courts To Restore Criminal Revisional Applications And Criminal Cases Dismissed For Default In Appearance.,1991,http://lawcommissionofindia.nic.in/101-169/Report141.pdf
142,Concessional Treatment For Offenders Who On Their Own Initiative Choose To Plead Guilty Without Any Bargaining.,1991,http://lawcommissionofindia.nic.in/101-169/Report142.pdf
143,Legislative Safeguards For Protecting The Small Depositors From Exploitation.,1991,http://lawcommissionofindia.nic.in/101-169/Report143.pdf
144,"Conflicting Judicial Decisions Pertaining To The Code Of Civil Procedure, 1908.",1992,http://lawcommissionofindia.nic.in/101-169/Report144.pdf
145,Article 12 Of The Constitution And Public Sector Undertakings.,1992,http://lawcommissionofindia.nic.in/101-169/Report145.pdf
146,"Sale Of Women And Children: Proposed Section 373-A, Indian Penal Code.",1993,http://lawcommissionofindia.nic.in/101-169/Report146.pdf
147,"The Specific Relief Act, 1963.",1993,http://lawcommissionofindia.nic.in/101-169/Report147.pdf
148,Repeal Of Certain Pre-1947 Central Acts.,1993,http://lawcommissionofindia.nic.in/101-169/Report148.pdf
149,"Removal Of Certain Deficiencies In The Motor Vehicles Act, 1988 (Act No. 59 Of 1988).",1994,http://lawcommissionofindia.nic.in/101-169/Report149.pdf
150,Suggesting Some Amendments To The Code Of Civil Procedure (Act No. V Of 1908).,1994,http://lawcommissionofindia.nic.in/101-169/Report150.pdf
151,Admiralty Jurisdiction.,1994,http://lawcommissionofindia.nic.in/101-169/Report151.pdf
152,Custodial Crimes.,1994,http://lawcommissionofindia.nic.in/101-169/Report152.pdf
153,Inter-Country Adoption.,1994,http://lawcommissionofindia.nic.in/101-169/Report153.pdf
154,"The Code Of Criminal Procedure, 1973 (Act No. 2 Of 1974).",1996,http://lawcommissionofindia.nic.in/101-169/Report154Vol1.pdf
155,"The Narcotics Drugs And Psychotropic Substances Act, 1985(Act No. 61 Of 1985).",1997,http://lawcommissionofindia.nic.in/101-169/Report155.pdf
156,The Indian Penal Code.,1997,http://lawcommissionofindia.nic.in/101-169/Report156Vol1.pdf
157,"Section 52:Transfer Of Property Act, 1882 And Its Amendment.",1998,http://lawcommissionofindia.nic.in/101-169/Report157.pdf
158,"The Amendment Of The Industries (Development And Regulation) Act, 1951",1998,http://lawcommissionofindia.nic.in/101-169/Report158.pdf
159,Repeal And Amendment Of Laws: Part I,1998,http://lawcommissionofindia.nic.in/101-169/Report159.pdf
160,"Amendment To The All India Council For Technical Education Act, 1987 (Act No. 52 Of 1987)",1998,http://lawcommissionofindia.nic.in/101-169/Report160.pdf
161,Central Vigilance Commission And Allied Bodies.,1998,http://lawcommissionofindia.nic.in/101-169/Report161.pdf
162,"Review Of Functioning Of Central Administrative Tribunal, Customs, Excise And Gold (Control) Appellate Tribunal And Income-Tax Appellate Tribunal",1998,http://lawcommissionofindia.nic.in/101-169/Report162.pdf
163,"The Code Of Civil Procedure (Amendment) Bill, 1997",1998,http://lawcommissionofindia.nic.in/101-169/Report163.pdf
164,"The Indian Divorce Act, 1869 (Act Iv Of 1869)",1998,http://lawcommissionofindia.nic.in/101-169/Report164.pdf
165,Free And Compulsory Education For Children,1998,http://lawcommissionofindia.nic.in/101-169/Report165.pdf
166,The Corrupt Public Servants (Forfeiture Of Property) Bill.,1999,http://lawcommissionofindia.nic.in/101-169/Report166.pdf
167,"The Patents (Amendment) Bill, 1998.",1999,http://lawcommissionofindia.nic.in/101-169/Report167.pdf
168,"The Hire-Purchase Act, 1972",1999,http://lawcommissionofindia.nic.in/101-169/Report168.pdf
169,"Amendment Of Army, Navy And Air Force Act.",1999,http://lawcommissionofindia.nic.in/101-169/Report169.pdf
170,Reform Of The Electoral Laws,1999,http://lawcommissionofindia.nic.in/lc170.htm
171,"The Biodiversity Bill, 2000",2000,http://lawcommissionofindia.nic.in/biod.htm
172,Review Of Rape Laws,2000,http://lawcommissionofindia.nic.in/rapelaws.htm
173,"Prevention Of Terrorism Bill, 2000",2000,http://lawcommissionofindia.nic.in/tada.htm
174,Property Rights Of Women: Proposed Reforms Under The Hindu Law,2000,http://lawcommissionofindia.nic.in/kerala.htm
175,"The Foreigners (Amendment) Bill, 2000",2000,http://lawcommissionofindia.nic.in/reports/175thReport.pdf
176,"The Arbitration And Conciliation (Amendment) Bill, 2002",2001,http://lawcommissionofindia.nic.in/arb.pdf
177,Law Relating To Arrest,2001,http://lawcommissionofindia.nic.in/reports/Annexure III of 177th report.pdf
178,"Recommendations For Amending Various Enactments, Both Civil And Criminal",2001,http://lawcommissionofindia.nic.in/reports/178rptp1.pdf
179,Public Interest Disclosure And Protection Of Informers,2001,http://lawcommissionofindia.nic.in/reports/179rptp1.pdf
180,Article 20 (3) Of The Constitution Of India And Right To Silence,2002,http://lawcommissionofindia.nic.in/reports/180rpt.pdf
181,"Amendment To Section 106 Of The Transfer Of Property Act, 1882",2002,http://lawcommissionofindia.nic.in/reports/181rpt.pdf
182,"Amendment Of Section 6 Of The Land Acquisition Act, 1894.",2002,http://lawcommissionofindia.nic.in/reports/182rpt.pdf
183,"A Continuum On The General Clauses Act, 1897 With Special Reference To The Admissibility And Codification Of External Aids To Interpretation Of Statutes.",2002,http://lawcommissionofindia.nic.in/reports/183rpt.pdf
184,"Legal Education & Professional Training And Proposals For Amendments To The Advocates Act, 1961 And The University Grants Commission Act, 1956.",2002,http://lawcommissionofindia.nic.in/reports/184thReport-PartII.pdf
185,"Review Of The Indian Evidence Act, 1872.",2003,http://lawcommissionofindia.nic.in/reports/185thReport-PartI.pdf
186,Proposal To Constitute Environment Courts,2003,http://lawcommissionofindia.nic.in/reports/186th report.pdf
187,Mode Of Execution Of Death Sentence And Incidental Matters,2003,http://lawcommissionofindia.nic.in/reports/187th report.pdf
188,The Proposals For Constitution Of Hi-Tech Fast - Track Commercial Divisions In High Courts.,2003,http://lawcommissionofindia.nic.in/reports/188th report.pdf
189,Revision Of Court Fees Structure,2004,http://lawcommissionofindia.nic.in/reports/189th Report on Revison of Court fee.pdf
190,"The Revision Of The Insurance Act, 1938 And The Insurance Regulatory And Development Authority Act, 1999",2004,http://lawcommissionofindia.nic.in/reports/InsuranceReport-2nddraft1.pdf
191,Regulation Of Funds Collected For Calamity Relief.,2004,http://lawcommissionofindia.nic.in/reports/Report191.pdf
192,Prevention Of Vexatious Litigation.,2005,http://lawcommissionofindia.nic.in/reports/Report192.pdf
193,"Transnational Litigation, Conflict Of Laws, Law Of Limitation.",2005,http://lawcommissionofindia.nic.in/reports/Report193.pdf
194,Verification Of Stamp Duties And Registration Of Arbitral Awards.,2005,http://lawcommissionofindia.nic.in/reports/Report194.pdf
195,"The Judges (Inquiry) Bill, 2005",2006,http://lawcommissionofindia.nic.in/reports/Report195.doc
196,Medical Treatment To Terminally Ill Patients (Protection Of Patients And Medical Practitioners),2006,http://lawcommissionofindia.nic.in/reports/rep196.pdf
197,Public Prosecutor’s Appointments.,2006,http://lawcommissionofindia.nic.in/reports/rep197.pdf
198,Witness Identity Protection And Witness Protection Programmes,2006,http://lawcommissionofindia.nic.in/reports/rep198.pdf
199,Unfair (Procedural And Substancive) Terms In Contracts,2006,http://lawcommissionofindia.nic.in/reports/rep199.pdf
200,"Trial By Media: Free Speech Vs. Fair Trial Under Criminal Procedure (Amendments To The Contempt Of Court Act, 1971)",2006,http://lawcommissionofindia.nic.in/reports/rep200.pdf
201,Medical Treatment After Accidents And During Emergency Medical Condition And Women In Labour,2006,http://lawcommissionofindia.nic.in/reports/rep201.pdf
202,Proposal To Amend Section 304-B Of The Indian Penal Code,2007,http://lawcommissionofindia.nic.in/reports/report202.pdf
203,"Section 438 Of The Code Of Criminal Procedure, 1973 As Amended By The Code Of Criminal Procedure (Amendment) Act, 2005 (Anticipatory Bail)",2007,http://lawcommissionofindia.nic.in/reports/report203.pdf
204,"Proposal To Amend The Hindu Succession Act, 1956 As Amended By Act 39 Of 2005.",2008,http://lawcommissionofindia.nic.in/reports/report204.pdf
205,"Proposal To Amend The Prohibition Of Child Marriage Act, 2006 And Other Allied Laws.",2008,http://lawcommissionofindia.nic.in/reports/report205.pdf
206,Proposal For Enactment Of New Coroners Act Applicable To The Whole Of India,2008,http://lawcommissionofindia.nic.in/reports/report206.pdf
207,"Proposal To Amend Section 15 Of The Hindu Succession Act, 1956 In Case A Female Dies Intestate Leaving Herself Acquired Property With No Heirs.",2008,http://lawcommissionofindia.nic.in/reports/report207.pdf
208,"Proposal For Amendment Of Explanation To Section 6 Of The Hindu Succession Act, 1956 To Include Oral Partition And Family Arrangement In The Definition Of ""Partition""",2008,http://lawcommissionofindia.nic.in/reports/report208.pdf
209,"Proposal For Omission Of Section 213 From The Indian Succession Act, 1925",2008,http://lawcommissionofindia.nic.in/reports/report209.pdf
210,Humanization And Decriminalization Of Attempt To Suicide.,2008,http://lawcommissionofindia.nic.in/reports/report210.pdf
211,Laws On Registration Of Marriage And Divorce –A Proposal For Consolidation And Reform.,2008,http://lawcommissionofindia.nic.in/reports/report211.pdf
212,Laws Of Civil Marriages In India – A Proposal To Resolve Certain Conflicts,2008,http://lawcommissionofindia.nic.in/reports/report212.pdf
213,Fast Track Magisterial Courts For Dishonoured Cheque Cases,2008,http://lawcommissionofindia.nic.in/reports/report213.pdf
214,"Proposal For Reconsideration Of Judges Cases I, Ii And Iii - Sp Gupta Vs. Uoi",2008,http://lawcommissionofindia.nic.in/reports/report214.pdf
215,L . Chandra Kumar Be Revisited By Larger Bench Of Supreme Court Of India,2008,http://lawcommissionofindia.nic.in/reports/report215.pdf
216,Non-Feasibility Of Introduction Of Hindi As Compulsory Language In The Supreme Court Of India,2008,http://lawcommissionofindia.nic.in/reports/report216.pdf
217,Irretrievable Breakdown Of Marriage - Another Ground For Divorce.,2009,http://lawcommissionofindia.nic.in/reports/report217.pdf
218,Need To Accede To The Hague Convention On The Civil Aspects Of International Child Abduction (1980).,2009,http://lawcommissionofindia.nic.in/reports/report218.pdf
219,Need For Family Law Legislations For Non-Resident Indians.,2009,http://lawcommissionofindia.nic.in/reports/report219.pdf
220,Need To Fix Maximum Chargeable Court-Fees In Subordinate Civil Courts.,2009,http://lawcommissionofindia.nic.in/reports/report220.pdf
221,Need For Speedy Justice – Some Suggestions.,2009,http://lawcommissionofindia.nic.in/reports/report221.pdf
222,Need For Justice–Dispensation Through Adr Etc.,2009,http://lawcommissionofindia.nic.in/reports/report222.pdf
